user_id,business_id,stars
hkSfv5w-ZyyQiFSWDbHh4g,ZX6v0viDJtr_fP7Mt3Gczg,3.0
pFqung1h3Kl5NBpGt95Zog,avhO2gx4ensf6Su6ld9d5g,2.0
hGNAQaGLZrTyMJKPs9CSrg,0TU09h0pr6Jfd2VBorDAbw,5.0
vikyvfRREkyvIFg1wtxk1g,ARDNlZlbB1c3F-Qvk3lJXQ,5.0
KutLfzMaUqwdWMyMAM28rA,JO4tK5oH6ncQ5m_MqkwxVQ,1.0
EdJoFvhyRQnnGW7DT3ZLQA,HUEZLPIM64cDZnfHE1H3AA,5.0
LO4PvX9Pr8re9kQEQjj0CA,r1vkjKMksmHhE9SjvSAdaw,3.0
7i4vh4i-Z6a2zYS4RTBTlg,SNn6O_vN8EtR-UFYtzYZ-Q,4.0
-5qiq9PWVeb0IICefvAHCQ,n66LuZ8NooZIcAfYvI4s5A,1.0
7mWnNVk2n99JxkvV3PW0nA,Un6u2cECyV4nZb_HGZ-uTA,4.0
HLE4PMeOrkQkIR559IkY9A,gvpoFnaCq2J7TBXV7yFIkQ,5.0
AECKgP5hxDceEcj1bbKNvw,Y6xGZZIQEtwjCkVHL-_GRg,2.0
LfyHQWb_kFyxbdNFb8kQGA,UAtX7xmIfdd1W2Pebf6NWg,1.0
onoPTc_dcSlQOOk6PUxpaw,g4CP3kgH1jTtMn-joxPT0A,4.0
pfUUxku5XUkbLNYQyO_pLQ,sR_BWNRynuuM78YU2GS_fQ,5.0
lrMmvkfLbx2YZkiJwNs4ow,05pmc_4J0TxoZrft1QxmJg,4.0
UKU5x7fgNWzzdpCh3PqS0A,jhFi0oxdyiyCYK7i-CW59A,4.0
1h8Phi7uI_NbyzPpPsu0_A,oaaeZ4BvMR9pHXYb5USEEQ,2.0
nkN_do3fJ9xekchVC-v68A,v5M1mNsDCQF0vLsRCMD0kQ,2.0
AyRa2eaaD2EOkSxdkSrNEA,ll5v-nUVgMsTMUC-MBGRFQ,1.0
uQSBQI8hKuNRxyxhPUsgLw,0WqROvvlHjvpeHIP0fg9EQ,5.0
e-xHsicLIq8Tr_U5f0HYYQ,Xak7y2IYtKJlUEzEsac9vA,5.0
LJmGZuhWjFI7oYXIkzR-IA,0BGoel6on7yGvojzOqOEAQ,5.0
QkiZjNOP2nwtMXy9Y4lEYg,-uzBQmCH8nqXGhBJJ7_npg,5.0
Nw4GV60oM78Uizh9dUuqNQ,LUCmOKTK5Uh7eU84yJq3mQ,5.0
yjkkzv-SHfS_jT25hWXi3g,VWuI68p6Ao_ENKaCGRazLA,4.0
sidhQlIARSHJyIp6mmiB0w,FQsIpsHVYuvE8jH5jrE5Lw,3.0
iL7GurdgJ9-7pkv_2B5aXQ,5lPqYrIthr9cv_LQHrffkQ,1.0
u0x3SXagjYDbI2N4sgJ0Tw,CoZmZKv2lCYd-UoAsAUobA,4.0
djtelow3RuucSO4Tiy6shA,t2xsi7qIN0iwGiOyCn7k8Q,5.0
MyN0Tr_wpXT3l9e-dPirHQ,6bSQFg8lPXnonUYh9tphdw,5.0
RiRSLGwvnz0BdfJHGe42EA,wQTv2-JPA_T0osFwwefCYA,1.0
GzCYPFBMk_j4LzmJpnVzQA,-L69Ix0-xX4BlHA61fGvrQ,5.0
Joc84PIqf70m-dCFhWM0XQ,EmJOkTKIwgm7QJbls7hN3w,4.0
wmJJs3LePX6KJwgMwUm2tQ,JCgLWYjoPJlznzFEtnzqKg,2.0
rC7hTkOfJ91_LPSxk-ABlQ,xdpH27x6qGSG21LLa6TaXQ,1.0
kV7kmmBw_8IPLyI5M6wgTw,4cgE4DUDSH3CjqsRwX_LOA,5.0
UU0OFv3ni6e7hwIXjueZ0w,DMC9ZMkDHNQmlhdPDmz-Cw,2.0
1vTcHEsdA4202XJbNoTDtQ,GDs0ymtRPWWHlUMBfNT5yg,1.0
bUVFpVxZdnFOh2BZzCoLYw,kvXWN5kB7CEzmMCf557Xug,1.0
suBpZTEXih253-0s_2GWCw,G61xj19TPnbzB7oQuoWTgQ,3.0
FcJw5upAp2kpkEC9yjvkXA,Je42YeoIWbMUQphd-UsKLA,2.0
sMQ6QlQ7-Qs4P9gFQtKUOQ,xTUmHvDbHDTwEl9w_f667w,5.0
nsCWWnrto_VYgWxELh_R1A,eUbq0uNxRlXQ6sy7phM7yA,4.0
LRx0RViGEAFX2UVJ5bNBRg,xdTsreID2XEhm8XlXcgtVQ,1.0
wekw0bbIv8o61WkTg7GPkg,jhFi0oxdyiyCYK7i-CW59A,4.0
AUSynoPYq2W7_7UIMci_AA,75ptvXSg7abUSN_D82O-qw,1.0
PdcZkgmG21joyGSOSwu0FA,PrWSjn4a8o4dHoqKs53GBA,5.0
YxvuZGAYcJIEQJmgtRCi3g,LGZimmjxbfGwBHgPZCx5cQ,2.0
wJHy7ZJG_EvLFQDRms5rXQ,75HV-KqCtn_oHeiLiGlO_w,4.0
DqJq4quAJB5cBc-qr7CbqA,aoZ-M3cVjBKpZAxRkaXi_Q,5.0
udclAXyUh3kka5uCXT0ITg,MH15A8iP8JSQRTXvYfqi8w,3.0
e-ZFXhkSLCUOSyFjv8khdw,hrvQyPfec2YqNk9ZknlYig,4.0
Jx5CzS0sVXf5oXbGKhhgHA,gHvqhb6TjIupKZyot0DIgA,1.0
_qeS-wNr5HCs8cIxp1-BLQ,4mmKcjlUWF3NTjtgrmBMFQ,4.0
-ZWB-76_QEkrJ13gzu8zPg,vV5ciKb5sDKVmF8mAoz1iA,1.0
EdR5dIPOK9fR_IFGcTCxZA,X9sz3xeaLujW9PhsSLCQyg,5.0
KwHyQ0NCMMHPydDOmBbQAw,JgjMHbZ4A407ZOmvEEoa6g,5.0
ZlMtgglrpQBmKAqR-idjWA,y6Cyi8nSkqCWxZoKoU2Agw,5.0
_zsiwKQoiAK6KiPUho1hFQ,1BvysshfkDS2eJ0k8XiDjQ,5.0
XI-84b0fdIM39YnmzlsC6Q,F7xXy4c9pCSQYVG_QxeBSw,1.0
PR-NRdbE4Fnaq-kULI4gog,Agq4zoNLSIpT1_ZJbnrvww,4.0
lvA6VQlDFK0HGr7OjUXB0g,I7atR1yTJMOgSoZLXLtCWA,1.0
HoO4hZSpHYVbswC1dL4wMg,DiRIdYhGyuTNZurKyuWf7A,2.0
_A9_70EAJWVP5rwx1gOTDg,J8Ha6yIvGoU-E31jnCq7Ew,4.0
pDIZYh9dIWKc2qUHO7j9Ww,jGennaZUr2MsJyRhijNBfA,5.0
TbeNFuahhKF3C5oJRT_ukQ,YZs1gNSh_sN8JmN_nrpxeA,3.0
0DmuCPKJ5l4otcf5ar_sew,72PQGMhrEcIuWH-S44TprA,4.0
0oZKhKKqqUqfKGr3DPz6Qg,_QUh5vFHSuw8R_uiFZ7XKQ,5.0
OgOFM-KkHvCYv9CoSxbi-Q,6WHkk0um6lc0N8EOyTvhEw,2.0
9pBP0RUGWPOpXbYv5HuFGw,qbpJFE-XlspCCk3PWhZ0AA,2.0
HpHkpOyCX0gcFuvbKYHpCg,C--wIpxJ4j1y01G_raHdbA,5.0
MGUSVcw0yu7tHwy334MFfQ,lq0rcFfgZJfzo9UD8bjDuA,4.0
Cs1dEheeY2UX0S-APLk4tg,V16Mua3SnXLt95N4EEolTw,5.0
Qr2uJBHZstzaRcXm3tmCiA,vS6_3-vp3vxYcxSTir9GYw,5.0
7L9CMYxPBMSaibMqIPBynA,paHbKmPjwirnIP7esoTPCQ,5.0
EfD24GxaAAA4J79PvdxQGQ,2ILe62hVJfiZEOcKxFYKDA,5.0
EuuWkZ_EA2IjsJCPOCt9UA,VPqWLp9kMiZEbctCebIZUA,2.0
4KgTmD0CULuQsrHouZ6zTA,OlB0841vj4V7Wje5tTtLWA,3.0
jyGzKoSIs-AStRX3NItM0Q,hpz2qRnei2IJROLJUJVvPQ,4.0
lljqZVYkVdfLvjaaCWVIQQ,H_RM2u1WWGU1HkKZrYq2Ow,5.0
3dCytTjgvgCv3tbv1qm-hw,fIA6vAsSGHxHDU8k0djIrg,1.0
6T1zjAnnls2tE5rvqwtm9A,zg9p8ZBFmEUCtfcBHNvzvg,4.0
pzfBUB6HXlJB_MU1afO6Gg,SCwzUgW_RUdahXNObknkTg,5.0
DnARW2cH2cXVyjfcWZO0Nw,ZKT4K5aAhE3KC6xPG0phYw,4.0
DVLN6wdRqZQMmHmCjqzeSw,0yl8_iGgj2wNCT43-7WPZA,2.0
80MUDP_Ny_J8jeShVxzdlw,ch1ercqwoNLpQLxpTb90KQ,5.0
E-xaldDut3-Z2uVe2-svMw,G-mqbRnV9rX5Nf2NK4tJRA,1.0
GmizaTLNzMpwYStZ-BwrrQ,_jYt69Zx1SUo_V9z0m7Ljg,5.0
fNA3n_phQhyF2NVs7mWVAg,a-EQKCGPirfEd33MkbD4ug,5.0
sDCnarE09IaYayz97IcbxA,QfhNSjJ7fXERSRp5FkEnVw,5.0
SLqeSHh2uHSW4Ok1G9H_3g,H_RM2u1WWGU1HkKZrYq2Ow,5.0
4wj4nUwA8-ZiKobMxFdK5g,JhSoyaXFf9xUfvow263gug,4.0
7Rbz2o3mjr9igDKYf4KcDw,AFhbVnKpqV4CZYkM3hfEIQ,4.0
7VtoY6J1Ojbyup3Z1Vlaog,SH4c_oijp86ooTJmLvx6SQ,5.0
-rev2tPuaysXAy8I3vOhLw,ezX80RabJ62B2lbKXCtg3g,5.0
4ym-LUiVrGQN49_7P_3uow,vKHj8egEtB0WqYy7RNZrqw,2.0
f6TVUznYvZS3P5HrR6846g,3ZVgig7uux9jVtEZna5NgA,5.0
wjk3eiAPGMajTZZ6vJjYVA,WwLZgm2Yw0n9AEo05sa3tQ,5.0
Y39V7fTJtc8BJ2jmdJ2ejA,k4zJfURHmAWRMECfGS5fxQ,5.0
Ef-ZmzDJ7J-_H-FwnP8k0A,qWOE4Cxlxm3hSwykOcOpjA,5.0
dUOZB3F9187M8UjbAxTAkQ,Oj5Seggqo_2FfKSjcAg7yw,3.0
AtSPTpC7LmqomR6NB3_HcA,2hPkrbzphCtP_e2neIyBPg,5.0
viCj_mm63tF7tZPgTQDA0Q,DSkmkEUvpVICLd1mjppk5g,5.0
p4NHAQZS4EdyXwccRJFIrQ,VvmKYyGo4CDQ3rr9KMc4jg,5.0
Tw_n1wFtOgqoBHVju8-hnw,SwafLjsIK8X4F6md2n6PRw,4.0
LZLTN6KxDEsJHEOJBgL-EQ,tbR3eFhZ9rr06tJDvO2pjw,1.0
JJZzkf0VDXH-Sa0X_11rig,8gkn6ZKsxdbX2CRZ33UTcQ,5.0
lW4awVx0c1Er3ILxfHsYgQ,TA1KUSCu8GkWP9w0rmElxw,4.0
3-DziuDabhS38a2VzYywiA,N9f8XoP3Q019I2ph6-_aLA,2.0
tGLemhL-9RJfXsK3eIuQuw,MvuzZyWA0BOFv6QtaTEwqw,5.0
9oeobPbGUrwA_kIkqE0hPA,uyW6OtCjZmPzYiAvPw60cA,5.0
5kFcxNT_ngVMu2fIEtFQNA,8e-xCj4xWGoYknADpovxVQ,4.0
QTwk5Ij2D0lwz851-SFqdw,TnRcGRybKUR5phkN7Es3jQ,4.0
0iTlg0tKm2toM139TFYVCg,IbuSlumTCNSD-ohMVHfWUA,4.0
F38RIDfENOia72iiIE4G6Q,bZiIIUcpgxh8mpKMDhdqbA,4.0
BRJY7e_ywYO7FpUpSHxpew,0Ng-wDNyA-96uaJZP8EKZg,5.0
79cm11VzsOU9l3DW0lyYQw,VzBw4yBOaPc_Zniovd37yQ,2.0
fiJOXfXKnQ-y0DzG_bzbLQ,HjZBIkAliR8CgCT9G_g2KA,5.0
0t64nqL9Hh8DsutcL2BKFw,vRrDTIW9IFBO4cc3laazUw,4.0
K7DGRGHyyG1Cy-IsKJeP8Q,nzyu4lcjIOH_zPMlaPbmrw,4.0
MBvLwopgi0-9HRbqmWn9rw,8feSeua4AjWADriNROnUpw,1.0
LcXhCl0OEWJQ_b0785j4iQ,N9f8XoP3Q019I2ph6-_aLA,2.0
NdnRr05tMM-kca7fYMpETg,YES12b8B0afEx-SWv-o1nw,3.0
dz16AX5EmXzkNE992iybvA,mJyvX1Hg9fsrBUgs6gfrig,5.0
XK_VJRqf_91vCnZigJGfxw,IYyYpXSsD41g14_z-Zdtiw,5.0
p9TNT6pNKRuvBSzNf27JkQ,nVM8SLX5Yp3E6NNmL7tAPQ,4.0
h_kjYBpubAmYVxvNaID7Lw,i9BDFBYcl_PGqrLbQUdMvg,4.0
lUpE-q9s0oxU26k-IfbM1w,JBFzDz96PxzZIdB89T7ipQ,4.0
oTpInzEzsg3wgvMO7IIiGA,6GczIaxfVePcP1ztujRisw,5.0
4LcCztOUU-Q6gOmxbyey7w,ufZddj_Wo51i7WKGKORl_g,1.0
Z0c3-9OFazZev1Sb6HONng,cC2U-mBeWYOYfvt662aGYA,3.0
e0ahZeOtdsUsslnjavRg6Q,GHuliK23HiSurTLi2GnJ4g,5.0
K1o50qUpTTEU2Y-qACMPSQ,HvqNINVvpCc7h3Gf8YnecA,4.0
KFxHZocWI9M2tanD70zabw,AIg-IBSPAkg015_C7nvIdA,5.0
B2tIcQCyoEq-UpB11-N1JA,oz882XuZCxajKo64Opgq_Q,4.0
vHlw5aZ9bWzSM9ra8dW3aA,C2-TNtNc___1tkYAmPgmWQ,5.0
HfX2JBNdB5Bx1N4BXnX_iw,sAdkyll7l2eFgb3EGPm58A,1.0
rjUZzkghV_RYRn1GqYEdnw,bPmWDBkjBhV11Yk4BipG4Q,3.0
q8IPJdD0wCfJ6Sj9HpLXsQ,VWuI68p6Ao_ENKaCGRazLA,2.0
tXv_o9IE9RgwDhTFe9KfvQ,H61GvE_VbTXtQbEgTPLchg,5.0
lyXhYab9FikpcLwPVL4XWQ,gr8vTH6FhwQ1AO06W4t59g,5.0
OIgKgNgdnT8uXD7EmI3IDQ,j9-xoRo9U2ugRXJjWdmXmQ,4.0
EKYjNogUPCOAHAy0MPgULg,ZLd5EDQkSnAPX8eMRwEsHQ,1.0
zHEaIs1OEAOXlzCG7o_wag,Yw1vQd5U5GB6ZPqn2buhBg,5.0
YI7eX0UZJUwV7xkNv6p6RA,aM-FPdJicti_TzymjW3Usg,5.0
pwsIEuiVzCZhQXODEkFy2g,w_MxXl29Pnpc94EU6S39cg,5.0
70w2s2fSgtpuOhozwp7d9g,DiRIdYhGyuTNZurKyuWf7A,5.0
qhEpi8OpUmJpqsH4TedRRw,9O5wLi4lUoa5GRP5BaAuVQ,4.0
pk1kfsdCu5Vk0rgrPCLPqg,-TOfMl4hLjH1iOQStV1opw,4.0
4Jhsajg1N9nL_ngiVt8O0g,La_xmePMtWwjxKUqbGvqGQ,5.0
RYVmdVIZ95mOinIXrfaJyA,oz882XuZCxajKo64Opgq_Q,3.0
Ibnfijx091VmOXp3YCOdfQ,72PQGMhrEcIuWH-S44TprA,3.0
7XiwWIL4VROuwTjaodCNkA,J1uidHIL7nE_noUuvFXj0A,5.0
RfZYbl5EDzjLLrGhvQlkZw,Pkp824mx2LL93TqKOdfMyQ,3.0
vhrp6p6I8FgwfW1FFnOMsA,KuOz1G9q38lHKQLnqsZW_Q,5.0
VS8L3dygx5stqBRZUELYRA,rbGjumv1jiCJ6FN3rPpciA,2.0
ywf1G9IvDLg_KytwLimFCw,9JtY3GKP0QJhYzsEzFugOg,4.0
ObrM-7SNQ0EP10stt9CbXQ,7ee6XyKyeduI-Rbc6L5j2Q,1.0
p8yQsVA51dzkc9cecDpvrw,HxegWRjhi7m73mXRI8qQIg,4.0
eaq31izc4yUnDzlvMvEanQ,-IIvmjoEKa9Trhf4OxzJeA,5.0
5dC0161OAT8jwN-5kpqMfQ,W4BJPLCjghJy3_wXjUtQLQ,5.0
m7z-tX6XDZ27xGhGjnI21w,VRwq4hgdoR9YZOfNIXd4Ow,5.0
iRwlX-CFZPi69c1ESOsScw,vQNe7TD_QDpGtGbkaAqi8Q,5.0
oiiJC37Gg8xPAy_Rn-LQkQ,-kXshDNDij_QARV4wR4EjQ,4.0
2r6ISTxuU1b_zrxOYV3cOQ,cVACy3wFAHpjnK2Yi5Y9NQ,5.0
R33p69V8vzXVsmYAtD45TQ,-OmEmU8sds0dcsDDSoce-g,2.0
A6Xf3Sh4XLFDapSTd1nGRA,aKLaNeoteS7aofO9id53Wg,4.0
N_vMk4AMhI2DAv6vp2hpow,ztlyPlnY5rEh3dM6-kN8BQ,5.0
o5FS05JeOBHvusMZTrkFIQ,1diwr6ycCvtBXR5vmnmNGg,3.0
KcWeExheONDSiOHH5QrtyA,ItZXR8qp_WC_v9zuSQGS9w,4.0
MOGGHLNXUWdRnzPcId_PrA,-oCYfB-JL3Yc_RECg4B1Qw,3.0
CkW_crW6TEchB35nDbXi9A,Z4CPbD4a-cR4JR8CH_c3PQ,4.0
byro3oSQQ1gRESKlfiAqtQ,ch1ercqwoNLpQLxpTb90KQ,2.0
_-cdZWNafBvHKDn5GbG1EA,q14kE_FYocXv9L4EEYzrzA,3.0
_0Gs3e0UyFeF37vMHl0kFg,GobfrBZcaDBtCM8P94NpOw,5.0
vvxUQLV9Hf5arDSsnBVtKQ,8gkn6ZKsxdbX2CRZ33UTcQ,5.0
WXSCghMqWGY_tmfRrvlANQ,RDuPefU1ZBP6OyolshXvGw,5.0
x0FtLaNVPh7bKo08BeuM9g,I_ft5lRPr37Rvpjgp-APDw,2.0
KJmXsA1zFPH-n6r14JcYLw,Pisoftb2bzA6OkqwppOTTA,2.0
lb5AXT_30lATfGLDHcIURA,A5A8dP2q7_j1_jmKDjDz6w,4.0
ihj8ppHpHsfjHJFNyy9ahA,FYQHebkSHB0DE3xbn3f7Yg,1.0
4xmRillCwr2d83i7OSY_zw,QsBKnLp420eDQF3bgYUDRw,5.0
albcORPa1p0O8hcHcp7obQ,FQALxQa69loeORgzbIBBmw,3.0
njfLLWQG8OemoaiDMZba8w,owsPscBGzgmWYIPohLau1g,5.0
1Fcgculayjb8ZCw0eM3EEw,jCy-3qRF0t5XGX36JPOvFA,4.0
p8rCTA139YIM6DQNq5s5XA,PyGYLQJnAoDihL0C32KMHA,4.0
EDW_1sreEpEIeH8bv7ZVTA,pc1PkDBggUSNU73jONdqHw,1.0
VWI6vEZqn_tGGeCrzlvzOA,J2NLhn_nMK4zeksEr6EE6Q,4.0
s5FMuuPQPdiVDAznDYfTvw,vRLEBh69vgWFiBvMxD8qbA,5.0
SiwZeCriqaJrh_qK10Wo2g,zIUFzFUy4Ja0TWMClV0xRQ,3.0
biDMJnsYTiNL8BvB3IrsUQ,4THc7ojs6ppNHKhLl74www,5.0
vLOApYl6w7K455f_Rfprvw,VPqWLp9kMiZEbctCebIZUA,2.0
Yjp9hJsBjwXGwySKq7pJYw,EmJOkTKIwgm7QJbls7hN3w,3.0
F13CqIvU-YsrQDSQdKy4DA,wVlxPWwFL-MrzCXim-UfWg,5.0
hYlCMQ278BvKv9IP9v_m4w,uo8kklLY1LK9mh11BPwywQ,4.0
Qp5vlturOI4KD4zmqrts1A,8IGgRKegd0H287W66X0BOw,3.0
I-0Be1dHEacp293TeRUDpw,Irp5sgl7XASH5ZTw2D47qw,4.0
-WaKYcdFY6ERy92s0rfeZg,LSy_aK05ojSPW9v0PLxxnA,4.0
nSXHEz55nM2oDI_j3X5k4g,EQEdd8hAQIsG9JF7c7RaVQ,5.0
g_YSJ7mb18RK8TdJxGoeag,AcTlqFU_f2PtiKqRblOY-A,1.0
tnumiJErCJ_EQl-5IurB1A,INYPAcIlZlB5xn2g0SqoGg,4.0
WXjLI8Jsg_itt_E_iTpm6Q,ZfKHogPGqQpzgNFSFjfICw,5.0
32HQqHGHqcDnNteK835C-Q,8zehGz9jnxPqXtOc7KaJxA,5.0
zplYpRKD4aQgVRbx_ELHbw,bPmWDBkjBhV11Yk4BipG4Q,4.0
Lv6oo-Szc3KQUafQtemXmQ,5-nUL-_CTYIzya5WG7bf5A,4.0
1kpqWquZx0KzYjmmBcY_dQ,SSdONoTe5UCJjfJ7ZsoMQg,4.0
-zqGTvnQt9IFgTsUvuYcSw,lyhNDfX8UatlRO5H3Kfccg,5.0
uXiP4smg1BGE-Uwm5-GrDQ,xaTGgwLwFGopzr1VlpBuBw,4.0
u0XNzzdj7Uyjubxt5u1LbA,h--UWTcbGQMJULlnd5dB1A,4.0
q7vo7vpOUmASi3ML37cL2Q,Oj5Seggqo_2FfKSjcAg7yw,4.0
kdSzd6pyfH7GGI7b7Azijw,AA3s5dGi0fQCwBZnhFb2eQ,2.0
g16kmCYG9LOXsB2Ufzl0yA,z7H7GmFn5UO1UyqHN-aKoQ,4.0
UTO7CGCHnLTosIMpR6KpyA,EA10YCkaxzRoCEOB38xv1Q,5.0
46syfaMKYN94CUdqiixt0Q,GCgnLwwI4b9cOee-vtK1aQ,5.0
fNTuJcjClg4DXI_J_IcQpQ,KW2svfVHffW_FD8oeJo1xQ,1.0
YKRuJUdbXJpC-aEWbVnNPg,39vR4dh70QwBqoY-QvLn_Q,1.0
mnAzL95Duq9YkyS0b1X2LA,bOkLeien1ra8x-7R9E8iYQ,3.0
jZgS4B2ZT7nBYZFSPjYzpA,JdIO0SZKGZPonTuZH8mDXQ,4.0
yh5zHnm5rFEqaPaQaBlOPA,PEnMU_He_qHoCfdoAKmjDQ,4.0
afEAsztdW2WKM77V15ab1A,cFK_BOgLb4zHxblDrkHW8g,5.0
cotShOo3FjFKQpnQpsjQYQ,v1UzkU8lEWdjxq8byWFOKg,5.0
YNd_7aLFw12srCr_Qd8Ldw,7-nxuUr0NDWwFPaJJp4t-g,5.0
RmWLIZ_-etGhxdMrbuq0sA,PPIqBapOuuBQtrCQ63ZJLw,5.0
HqHERaes5k_QlUe5VgAQGw,dyBqZmT2fYN5f7UA6QFmqg,2.0
BWUBHgkJLrhQdqJHzbia3A,eUbq0uNxRlXQ6sy7phM7yA,5.0
0zWdF27Cr3zqs3HLYQsx2g,hBKae4zITTiK29mZEhVChA,5.0
4im_kN_RLtk-8TxL2vfFZQ,cTvd8p0R3qgmzobsSIY-cQ,4.0
WJwNWh9m1uXu68adoVBFTA,3ZVgig7uux9jVtEZna5NgA,4.0
6xje_eYIImNLJU7yoDE0YA,C2Sq5A2g7a56wwiqrQ0ucA,1.0
